id;salary;paid;unpaid;date;transaction_id;payment_mode;remarks
1;6498;23167;40158;2020-09-09;deposit Auto Loan Account Avon;CASH;lavender
2;77958;82620;35012;2020-09-09;invoice;NETBANKING;Personal Loan Account Chile foreground
3;51524;75823;49118;2020-09-09;Salad indexing Pre-emptive;NEFT;Personal Loan Account
4;58008;86012;9148;2020-09-09;incentivize bi-directional Tunnel;UPI;Jewelery monitoring Infrastructure
5;73521;8698;28139;2020-09-09;implement;NETBANKING;Borders
6;8104;96212;22018;2020-09-10;Senior Facilitator Sleek Fresh Shoes;NEFT;payment Mayotte
7;86449;26702;73390;2020-09-09;optical deposit;NEFT;UIC-Franc
8;68014;10583;61861;2020-09-09;purple SCSI Accountability;UPI;copying
9;22862;74350;90870;2020-09-10;connecting;NETBANKING;Money Market Account
10;98118;55984;63181;2020-09-10;expedite;UPI;Wooden radical Beauty
