id;share;planned_classes;actual_classes;share_correction;month;remarks
1;100;18057;55580;56794;NOV;card azure Frozen
2;42;94426;79534;47421;DEC;deposit payment one-to-one
3;56;12056;48106;7695;SEP;Kansas
4;81;53949;53840;79072;DEC;e-commerce SSL web-readiness
5;46;87009;99034;2126;FEB;matrix Data
6;7;99793;948;35071;MAY;Sleek Granite Tuna Utah
7;27;98408;39828;76827;AUG;Russian Federation program
8;0;11047;46731;35462;AUG;program
9;59;4209;27726;1787;JUN;Concrete Usability neural
10;26;8941;58855;41758;MAR;Officer parse
